STATE,CITY,LOCATION,ENERGY,AREA,IT EQUIPMENT POWER,State_Aggregated_PUE,FULL_CABINETS,PARTIAL_CABINETS,SHARED_RACKSPACE,CAGES,SUITES,BUILD_TO_SUIT,FOOTPRINTS,REMOTE_HANDS,YEAR_OPERATIONAL,State_Aggregated_IXP_Count
FL,Miami,36 NE 2nd St (MIA10),1.3,10200,0.91,1.8,True,True,True,True,True,True,True,True,1925.0,7
FL,Miami,RadiusDC Miami I,9.2,15795,6.44,1.8,True,True,True,True,True,True,True,True,2001.0,7
FL,Miami,Volico Miami 2,10.0,5000,7.0,1.8,True,True,True,True,True,True,True,True,1925.0,7
FL,Miami,Raeden MIA2,3.0,32000,2.1,1.8,True,True,True,True,True,True,True,True,2006.0,7
FL,Orlando,CoreSite Orlando (OR1),7.0,130000,4.9,1.8,True,True,True,True,True,False,True,True,1984.0,7
FL,Orlando,Signal Hill Telecom Center,13.0,115000,9.1,1.8,True,True,True,True,True,True,True,True,2000.0,7
ID,Boise,Ark Data Centers Boise 1,1.0,10000,0.7,1.5,True,True,True,True,True,True,True,True,2014.0,1
ID,Boise,Tonaquint Boise Data Center,2.0,8500,1.4,1.5,True,True,True,True,True,True,True,True,2000.0,1
NY,New York,60 Hudson Street (JFK12),2.5,38400,1.75,1.37,True,True,True,True,True,True,True,True,1930.0,11
NY,New York,111 Eight Avenue (JFK10),5.5,50100,3.85,1.37,True,True,True,True,True,True,True,True,1932.0,11
NY,Orangeburg,1 Ramland,12.0,100000,8.4,1.37,True,True,True,True,True,True,True,True,2017.0,11
NY,Garden City,Opti9 NY1,4.0,25000,2.8,1.37,True,True,True,True,True,True,True,True,2002.0,11
NY,New York,Hudson InterXchange,6.0,120000,4.2,1.37,False,False,True,True,True,False,True,True,2011.0,11
